code,name,name_en,market
005930,삼성전자,Samsung Electronics,KOSPI
000660,SK하이닉스,SK Hynix,KOSPI
373220,LG에너지솔루션,LG Energy Solution,KOSPI
207940,삼성바이오로직스,Samsung Biologics,KOSPI
005380,현대차,Hyundai Motor,KOSPI
006400,삼성SDI,Samsung SDI,KOSPI
051910,LG화학,LG Chem,KOSPI
000270,기아,Kia Corp,KOSPI
035420,NAVER,NAVER Corp,KOSPI
035720,카카오,Kakao Corp,KOSPI
005490,POSCO홀딩스,POSCO Holdings,KOSPI
055550,신한지주,Shinhan Financial,KOSPI
105560,KB금융,KB Financial Group,KOSPI
068270,셀트리온,Celltrion,KOSPI
012330,현대모비스,Hyundai Mobis,KOSPI
028260,삼성물산,Samsung C&T,KOSPI
003670,포스코퓨처엠,POSCO Future M,KOSPI
066570,LG전자,LG Electronics,KOSPI
032830,삼성생명,Samsung Life Insurance,KOSPI
096770,SK이노베이션,SK Innovation,KOSPI
003550,LG,LG Corp,KOSPI
034730,SK,SK Inc,KOSPI
015760,한국전력,KEPCO,KOSPI
017670,SK텔레콤,SK Telecom,KOSPI
030200,KT,KT Corp,KOSPI
033780,KT&G,KT&G Corp,KOSPI
009150,삼성전기,Samsung Electro-Mechanics,KOSPI
034020,두산에너빌리티,Doosan Enerbility,KOSPI
247540,에코프로비엠,EcoPro BM,KOSDAQ
086520,에코프로,EcoPro,KOSDAQ
091990,셀트리온헬스케어,Celltrion Healthcare,KOSDAQ
328130,루닛,Lunit,KOSDAQ
036930,주성엔지니어링,Jusung Engineering,KOSDAQ
403870,HPSP,HPSP,KOSDAQ
196170,알테오젠,Alteogen,KOSDAQ
060310,3S,3S,KOSDAQ
041510,에스엠,SM Entertainment,KOSDAQ
263750,펄어비스,Pearl Abyss,KOSDAQ
293490,카카오게임즈,Kakao Games,KOSDAQ
145020,휴젤,Hugel,KOSDAQ
000100,유한양행,Yuhan Corp,KOSPI
018260,삼성에스디에스,Samsung SDS,KOSPI
004020,현대제철,Hyundai Steel,KOSPI
010950,S-Oil,S-Oil Corp,KOSPI
036570,엔씨소프트,NCSoft,KOSPI
259960,크래프톤,Krafton,KOSPI
011200,HMM,HMM Co,KOSPI
010130,고려아연,Korea Zinc,KOSPI
138040,메리츠금융지주,Meritz Financial,KOSPI
086790,하나금융지주,Hana Financial Group,KOSPI
316140,우리금융지주,Woori Financial Group,KOSPI
024110,기업은행,IBK,KOSPI
000810,삼성화재,Samsung Fire & Marine,KOSPI
009540,한국조선해양,Korea Shipbuilding,KOSPI
042700,한미반도체,Hanmi Semiconductor,KOSDAQ
128940,한미약품,Hanmi Pharm,KOSPI
100790,미래에셋증권,Mirae Asset Securities,KOSPI
006800,미래에셋증권,Mirae Asset Securities,KOSPI
003490,대한항공,Korean Air,KOSPI
000720,현대건설,Hyundai E&C,KOSPI
010140,삼성중공업,Samsung Heavy Industries,KOSPI
329180,HD현대중공업,HD Hyundai Heavy Industries,KOSPI
009830,한화솔루션,Hanwha Solutions,KOSPI
272210,한화시스템,Hanwha Systems,KOSPI
012450,한화에어로스페이스,Hanwha Aerospace,KOSPI
042660,한화오션,Hanwha Ocean,KOSPI
005830,DB손해보험,DB Insurance,KOSPI
003410,쌍용C&E,Ssangyong C&E,KOSPI
161390,한국타이어앤테크놀로지,Hankook Tire,KOSPI
011170,롯데케미칼,Lotte Chemical,KOSPI
004990,롯데지주,Lotte Corp,KOSPI
267250,현대중공업,Hyundai Heavy Industries,KOSPI
078930,GS,GS Holdings,KOSPI
047050,포스코인터내셔널,POSCO International,KOSPI
180640,한진칼,Hanjin Kal,KOSPI
383220,F&F,F&F Co,KOSPI
090430,아모레퍼시픽,Amorepacific,KOSPI
051900,LG생활건강,LG H&H,KOSPI
326030,SK바이오팜,SK Biopharmaceuticals,KOSPI
302440,SK바이오사이언스,SK Bioscience,KOSPI
352820,하이브,HYBE,KOSPI
112040,위메이드,WeMade,KOSDAQ
035900,JYP Ent.,JYP Entertainment,KOSPI
122870,와이지엔터테인먼트,YG Entertainment,KOSPI
377300,카카오페이,Kakao Pay,KOSPI
323410,카카오뱅크,KakaoBank,KOSPI
069500,KODEX 200,KODEX 200,KOSPI
005935,삼성전자우,Samsung Electronics Pref,KOSPI
009835,한화솔루션우,Hanwha Solutions Pref,KOSPI
380550,LG에너지솔루션2,LG Energy Solution 2,KOSPI
